,Date,User,Tweet
0,2023-06-15 23:58:39+00:00,YukaSeon18,"The Childe cast will the the for Cine21 cover 😍 They all look so fine 🔥

#KimSeonHo #김선호 #キムソンホ　
#TheChilde #귀공자 #강태주 #김강우 #고아라 
#박훈정감독 #6월21일극장대개봉 #貴公子 https://t.co/iV2sKi46ga"
1,2023-06-15 23:58:17+00:00,7oriaaa,"💙🔥💙🫠💙🔥💙
#KimSeonHo #김선호 #คิมซอนโฮ #TheChilde https://t.co/etoqEkP2Go"
2,2023-06-15 23:57:18+00:00,FrrtyBS_,#TheChilde cast💥🔥🔥 #KimSeonHo https://t.co/48UBbmQudO
3,2023-06-15 23:58:04+00:00,nayseonho,"Kim Seon-ho, Kang Tae-joo, Kim Kang-woo, and Go A-ra from the movie 'The Scion' presented a charismatic pictorial.
 https://t.co/U8N6VpDMX8

#KimSeonHo #김선호 
#TheChilde #귀공자 https://t.co/WzKr8Ti9I0"
4,2023-06-15 23:56:29+00:00,yourseonshine,"#KimSeonho, who challenged to make a drastic transformation into a gwigongja reminds of a gwigong in a clean suit in the movie with details. Kang Taeju, who has hard eyes shows Marco's will to survive. Kim Kangwoo a director with strong eyes, &amp; Go Ara who exudes a mysterious aura https://t.co/w68JRJSjAh"
5,2023-06-15 23:55:16+00:00,lyeyyoo,Çekimlerin devamı gelsin. 🤍 #GoAra #KimSeonHo #KangTaeJoo #TheChilde #고아라 #김선호 https://t.co/eNezZh2mDa
6,2023-06-15 23:55:14+00:00,kimseonhomy,"Cast of The Childe by Cine21 

🔗 https://t.co/miyEvpU6Fu

#KimSeonHo #김선호 #TheChilde #귀공자 #KIMSEONHOMY https://t.co/63o6Jqc2aR"
7,2023-06-15 23:55:12+00:00,kimseonhomy,"Cast of The Childe by Cine21 

🔗 https://t.co/miyEvpU6Fu

#KimSeonHo #김선호 #TheChilde #귀공자 #KIMSEONHOMY https://t.co/7aEijUy1IX"
8,2023-06-15 23:55:10+00:00,kimseonhomy,"Kim Seonho by Cine21 

🔗 https://t.co/miyEvpU6Fu

#KimSeonHo #김선호 #TheChilde #귀공자 #KIMSEONHOMY https://t.co/vfcrt9DGlt"
9,2023-06-15 23:54:42+00:00,smileseon1987,"หล่อจะขิต  😍 

 https://t.co/blQHIU3NMi

#คิมซอนโฮ #김선호 #KimSeonHo #김스다 #thechilde https://t.co/Sw7PiBDrQe"
10,2023-06-15 23:54:25+00:00,lyeyyoo,Neler görüyorum! #GoAra #KimSeonHo #KangTaeJoo #TheChilde #고아라 #김선호 https://t.co/jZ1QCYqz6f
11,2023-06-15 23:54:21+00:00,just4tien,"ARE THEY VOCAL GROUP FROM 90s ERA? DID THEY RELEASE ALBUMS? 
😭😭😭😭

#TheChilde
#KimSeonHo 
#GooAra
#KimKangWoo
#KangTaejoo https://t.co/kWkQMAROIx"
12,2023-06-15 23:54:10+00:00,pacarseonhokim,"well, I’ll be rooting on this idol group as a new comer🤣🤣🤣 #KimSeonHo #KangTaeJoo #KimKangWoo #GoAra #TheChilde https://t.co/HsMN5etwoU"
13,2023-06-15 23:50:21+00:00,pacarseonhokim,"LOOKS SO PERFECT!!!! HANDSOME, SERIOUS AND ON FIREEE🔥🔥🔥🔥 #KimSeonHo https://t.co/9r0mO3nfcN"
14,2023-06-15 23:49:46+00:00,Ottokee0,"待って待って待って
また鼻血案件の画像きた🫠
#キムソノ #キムソンホ #KimSeonHo #김선호 https://t.co/AhWMMdHPHH"
15,2023-06-15 23:49:19+00:00,pacarseonhokim,"pleaseeee anyone who have the HD pictures, i want it!!! thankssss🥹🥹🥹 #KimSeonHo"
