,Date,User,Tweet
0,2023-06-23 02:25:51+00:00,_dekumaa,"Malu foto sama ayang 😂🤣
Ayo dong @CGV_ID Pakuwon Jogja adain standee biar pada balik lagi buat nonton.. masa ga ada standeenya, jadi kureng seruu 🥲
#TheChilde https://t.co/4iry9IMTzk"
1,2023-06-23 02:21:33+00:00,RupsChalke,"#KimSeonho #김선호 
#TheChilde #귀공자"
2,2023-06-23 02:20:03+00:00,seonhokimdaily,"#THECHILDE —“the villain may be good looking, but his smile is never quite right”

#KimSeonHo #김선호 https://t.co/Rhoyvph8z3"
3,2023-06-23 02:17:03+00:00,seonhonara,"🎀 선호나라에서 준비한 &lt;김선호관&gt; 🎀 

🔥 2023.06.21 ~ 2023.06.27
🔥 CGV 왕십리 7관 &lt;김선호관&gt;

많은 관심과 관람 인증 부탁드려요 ◡̈ ✌️ 

#김선호 #Kimseonho #귀공자 #TheChilde 
#김선호관 #많관부 #많참부 #seonhonara https://t.co/G37oVoQSX5"
4,2023-06-23 02:13:10+00:00,Adiitoo,"WARGA BEKASI MANA WARGA BEKASI

MAU NONTON THE CHILDE NDAK? HAMBA ALLAH MENITIPKAN 3 TIKET GRATIS NONTON #THECHILDE HARI INI DI LAGOON AVENUE BEKASI PUKUL 14.10 WIB.

SYARATNYA : PASTIKAN BISA NONTON https://t.co/QmCbUg6LjW"
5,2023-06-23 02:12:55+00:00,minchije,"@nopeey actually karna masih nunggu the childe tayang di XXI deket rumah😭😭 the childe belum ada di xxi dom aku, kalo ke cgv aku harus spend 100k sendiri buat transport kesana, what a waste of money😩 kalo misal aku bisa dapetin free ticket #TheChilde aku ikhlas 100k buat transport wkwk"
6,2023-06-23 02:02:00+00:00,seontora,"https://t.co/yvd2rYVglu

#김선호
#kimseonho 
#귀공자
#thechilde"
7,2023-06-23 01:54:11+00:00,pevitaboongan,"Sempet takut bgt nonton #TheChilde cause i put all expectations to him, but surprisingly his act is totally insane🥹😭 Kim Seon Ho able to out of zone! Totally the waiting has really paid off💜🥵🚬 https://t.co/CHdMnpHurS"
8,2023-06-23 01:44:26+00:00,Jo111518,"[인터뷰] 김선호 “첫 영화.. 떨린다, 재밌다, 신기하다” (영화 ‘귀공자’) (출처 : KBS 연예 | 네이버 TV연예) 
https://t.co/rDiaqNyeYD

#귀공자 #TheChilde 
#キムソンホ #KimSeonHo  #김선호 https://t.co/MJANl1tD9G"
9,2023-06-23 01:44:18+00:00,kimhadda,"Dari yg udah udah ntn film korea tuh endingnya selalu gantung gitu, tapi nonton #TheChilde endingnya bagus bgt dijelasin gak gantung juga. Cuma masih misteri nih nama si paling Pro ini siapa🤪"
10,2023-06-23 01:37:09+00:00,omkaz12,"The childe stage greeting wanna buy? DM me
6/29 Wansimni CGV
&gt;18:40 Center A2seat - 9.0
&gt;16:10 A2Seat aisle - 7.0
6/29 cheongnyangni 
&gt;14:50 A2Seat aisle - 7.0
7/1 Gwanggyo CGV
&gt;13:50 A2Seat aisle - 7.0
#귀공자 #귀공자무대인사 #김선호 
#KimSeonHo #TheChilde #StageGreeting #金宣虎"
